video,frame,label,x,y,radius,mean,contrast,fill_ratio,std_ratio,ring_diff,perimeter_ratio,perimeter_std,color_std,inner_mean,ring_mean,eccentricity
P7_2.mp4,30,1,713,584,6,146.97344970703125,30.677449707031244,1.0,0.012687444395910201,-0.29418103448276156,1.0,0.05372579493751857,1.9278035163879395,147.13793103448276,146.84375,0.9999998899803779
P7_2.mp4,40,1,712,580,8,145.28933715820312,35.07629767243637,0.9593908629441624,0.06119843726027599,-5.205782312925152,0.7272727272727273,0.03909496322778341,8.8933687210083,147.55102040816325,142.3452380952381,1.101552443661413
P7_2.mp4,45,1,768,544,8,149.57867431640625,31.473991120813963,0.9593908629441624,0.05601152027660182,-5.137755102040842,0.7045454545454546,0.03909496322778341,8.551088333129883,151.81632653061226,146.67857142857142,1.0811836317260215
P7_2.mp4,50,1,781,495,7,163.06710815429688,33.868535027067395,0.9731543624161074,0.12716839375596808,-13.334178498985807,0.6388888888888888,0.041002574240232834,24.43896484375,172.17241379310346,158.83823529411765,1.0100648014463334
P7_2.mp4,60,1,840,699,6,122.47787475585938,69.83627475585938,1.0,0.013263345801800908,0.49946120689655515,1.0,0.05372579493751857,1.624466061592102,122.17241379310344,122.671875,0.9999998899803779
P7_2.mp4,65,1,908,736,9,117.32015991210938,91.05865516411814,0.9723320158102767,0.14715434641515096,-8.627551020408163,0.6458333333333334,0.034770633908084506,17.264171600341797,122.0204081632653,113.39285714285714,1.0695229664866672
P7_2.mp4,70,1,838,657,6,122.99114990234375,72.12234990234376,1.0,0.002022372754597479,-0.015625,1.0,0.05372579493751857,0.2487340122461319,123.0,122.984375,0.9999998899803779
P7_2.mp4,75,1,758,615,7,122.35570526123047,86.10243534446471,1.0,0.025196307245770443,-0.9011156186612652,0.9166666666666666,0.041002574240232834,3.0829172134399414,122.82758620689656,121.92647058823529,0.9999999162896068
P7_2.mp4,80,1,740,606,8,119.6192855834961,91.97833057890472,0.9898477157360406,0.09839453524312329,-8.02210884353741,0.6363636363636364,0.03909496322778341,11.76989459991455,123.08163265306122,115.05952380952381,1.0326069549095982
P7_2.mp4,85,1,798,642,8,120.30964660644531,91.36657957246919,0.9949238578680203,0.07067797688587228,-4.685374149659864,0.8181818181818182,0.03909496322778341,8.503242492675781,122.38775510204081,117.70238095238095,1.021246124450556
P7_2.mp4,90,1,786,634,8,119.2538070678711,90.95628640671407,0.9949238578680203,0.08603414268804788,-7.127551020408163,0.7045454545454546,0.03909496322778341,10.259892463684082,122.44897959183673,115.32142857142857,1.0192160191978004
P7_2.mp4,95,1,680,632,8,119.83756256103516,90.86511077040154,0.9898477157360406,0.08189165875580255,-5.307823129251702,0.7727272727272727,0.03909496322778341,9.81369686126709,122.08163265306122,116.77380952380952,1.0387434645430704
P7_2.mp4,100,1,666,634,7,121.89933013916016,83.74356319504601,1.0,0.024076966295990206,-0.50050709939147,0.9166666666666666,0.041002574240232834,2.9349653720855713,122.10344827586206,121.6029411764706,0.9999999162896068
P7_2.mp4,105,1,681,644,5,122.25926208496094,50.78080403507431,1.0,0.009937120451401396,-0.0576923076923066,1.0,0.0743559629024738,1.2149044275283813,122.23076923076923,122.17307692307692,0.9999998479087915
P7_2.mp4,110,1,733,644,7,121.79866027832031,84.21126432112649,1.0,0.02439976718200977,-0.6866125760649169,0.9722222222222222,0.041002574240232834,2.971858024597168,122.06896551724138,121.38235294117646,0.9999999162896068
P7_2.mp4,115,1,614,641,7,121.44295501708984,82.58564229414097,1.0,0.025782482539209697,-1.4168356997971472,0.9166666666666666,0.041002574240232834,3.131101369857788,122.03448275862068,120.61764705882354,0.9999999162896068
P7_2.mp4,120,1,623,652,9,114.67984008789062,90.49138135889136,0.9525691699604744,0.18950328269071223,-13.627551020408163,0.5833333333333334,0.034770633908084506,21.732229232788086,122.3061224489796,108.67857142857143,1.0668399853925434
P7_2.mp4,125,1,698,624,8,118.08121490478516,90.04907532719103,0.9746192893401016,0.13358239790482546,-10.455782312925166,0.6590909090909091,0.03909496322778341,15.773571968078613,122.26530612244898,111.80952380952381,1.072900402307372
P7_2.mp4,130,1,731,614,6,122.6814193725586,73.8382193725586,1.0,0.00848799182688253,0.5646551724137936,1.0,0.05372579493751857,1.0413188934326172,122.3103448275862,122.875,0.9999998899803779
P7_2.mp4,135,1,764,578,8,121.20812225341797,94.21638671622789,0.9949238578680203,0.07957026692912245,-3.9982993197278915,0.8181818181818182,0.03909496322778341,9.644567489624023,122.93877551020408,118.94047619047619,1.0212461244505544
P7_2.mp4,140,1,770,572,8,121.93401336669922,94.20214927119876,1.0,0.03950953250747829,-1.2789115646258438,0.9090909090909091,0.03909496322778341,4.817555904388428,122.3265306122449,121.04761904761905,0.9999999366106161
P7_2.mp4,145,1,775,574,6,121.70796203613281,73.70956203613281,1.0,0.011603338472596545,-0.4655172413793167,1.0,0.05372579493751857,1.4122177362442017,121.96551724137932,121.5,0.9999998899803779
P7_2.mp4,150,1,780,608,8,119.59898376464844,92.00669726327102,0.9898477157360406,0.09444932511948066,-6.345238095238102,0.7727272727272727,0.03909496322778341,11.296050071716309,122.28571428571429,115.94047619047619,1.0326069549095982
P7_2.mp4,155,1,780,620,8,119.72080993652344,91.54541967022408,0.9949238578680203,0.08772907073438195,-5.761904761904759,0.75,0.03909496322778341,10.502999305725098,122.14285714285714,116.38095238095238,1.0212461244505548
P7_2.mp4,160,1,776,622,7,122.13423156738281,85.73708531292384,1.0,0.012750074614293979,-0.2606490872210969,1.0,0.041002574240232834,1.5572198629379272,122.17241379310344,121.91176470588235,0.9999999162896068
P7_2.mp4,165,1,766,633,8,107.84263610839844,78.9803771552304,0.883248730964467,0.31235632158546833,-32.65816326530613,0.5681818181818182,0.03909496846866064,33.685359954833984,122.12244897959184,89.46428571428571,1.256755454968997
